family,map,field,p,n,amplitude,derivative,rate
tri,coupled,shortwave,3.0,8.0,0.4,xyy,0.8996089787606638
tri,coupled,shortwave,3.0,8.0,0.4,yyy,0.8665259636237312
tri,coupled,exponential,3.0,8.0,0.4,x,2.9568306187147395
tri,coupled,exponential,3.0,8.0,0.4,y,2.9571988527037365
tri,coupled,exponential,3.0,8.0,0.4,xx,1.9512459747431996
tri,coupled,exponential,3.0,8.0,0.4,xy,1.955991670961419
tri,coupled,exponential,3.0,8.0,0.4,yy,1.9546108449835378
tri,coupled,exponential,3.0,8.0,0.4,xxx,0.9554306722281141
tri,coupled,exponential,3.0,8.0,0.4,xxy,0.9554720847036913
tri,coupled,exponential,3.0,8.0,0.4,xyy,0.9634247405804607
tri,coupled,exponential,3.0,8.0,0.4,yyy,0.9476681793010721
tri,coupled,sine,4.0,4.0,0.4,x,3.7095828973233553
tri,coupled,sine,4.0,4.0,0.4,y,3.734571170741924
tri,coupled,sine,4.0,4.0,0.4,xx,2.758446436140804
tri,coupled,sine,4.0,4.0,0.4,xy,2.787697802351129
