dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,2,3,recursive,5.1088224388266317e-08,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,2,3,direct,4.0183410467578864e-08,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,2,3,fe_geometry,4.0183410467578984e-08,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,2,3,reused,5.203680489448192e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,2,3,reused_centered,-7.0446709753484611e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,3,0,3,recursive,-3.2337312034327771e-08,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,3,0,3,direct,-5.0582240149707254e-07,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,3,0,3,fe_geometry,-5.0582240149707254e-07,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,3,0,3,reused,1.464732475075695e-09,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,3,0,3,reused_centered,-6.386141811402834e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
