family,n,p,amplitude,basis,map,extra,field,derivative,order,method,error_ratio,face_ratio,jump_ratio,relative_l2,error_l2
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k2,1.0002334567947186,1.0007130500342283,1.0010465813155967,0.16238753053430344,7.351713759458211
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k,6.00846223136031,5.329420321789224,6.8890749146996155,0.18704080470957166,6.350874600896522
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k1,1.1120362045769092,1.1248821870877128,1.3677608653970976,0.03461720130063177,1.1754093168903785
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k2,1.0003167266569495,1.0011935268845185,0.9972577916416292,0.031139422753099538,1.0573231298716648
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k,1.272681884701009,1.2820453730263068,1.3132554070061355,0.186993377883977,4.761948185517133
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k1,0.9974731643317408,0.9974024260114907,0.9976959305203237,0.14655734366080866,3.7322095820570764
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k2,1.0002978105835505,1.0010842132690736,1.0011623108247372,0.14697236500298588,3.742778459680956
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k,1.3503087105599811,1.2327398183676932,26.885917518816846,0.00022149728108454008,0.0005189421551322314
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k1,0.9933483931563536,0.992622985198111,2.7489739828729376,0.00016294345621349344,0.0003817574099243722
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k2,0.9999324442892455,1.0004136997526787,0.8802865755825661,0.00016402346807526422,0.00038428775106612995
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k,0.9592604145600254,0.9112666282795212,20.14962493545577,0.00021370366116339645,0.0002503413087979471
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k1,0.9969426755357653,0.9966477786251589,1.7833690405200349,0.00022209850057217548,0.0002601753709441051
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k2,1.0008781143557628,1.0017373251089567,1.6281715482287238,0.00022297523609816273,0.000261202415206475
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k,0.9105912611323038,0.8610845239157215,0.8728558289767404,0.019380683150534893,0.045406667896003734
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k1,0.9931472798940526,0.9919140019102757,0.9997867567960586,0.021137774515327376,0.04952332691387051
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k2,0.9998518486597171,1.0009802052212124,0.9982012128381935,0.021280472044344665,0.049857650490564946
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k,4.7135657996642255,4.21609327889035,5.169799891932632,0.019379771196044202,0.022702265646787366
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k1,0.851697270822097,0.7780709309689106,0.9929209630637794,0.003501743465213391,0.004102087149016658
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k2,1.025575749024805,1.0392814698945287,1.0072004975870101,0.0042166428146029515,0.004939549819570276
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k,0.39190546234775664,0.39352925990425164,0.3898427440673882,0.01939871379652791,0.011362227896288815
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k1,0.9969537525898368,0.9967009706569877,0.9990258727606487,0.04934766767221979,0.02890394961868258
quad,16.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k2,1.0002324737525439,1.0016851646991924,1.001118768587278,0.04950995929498246,0.028999007178829583
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,x,1,physical_k,3.835729814215028,3.46547807416145,2.68134109914661,0.0053418406318085565,0.007577383863598068
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,x,1,physical_k1,0.9730772675078049,0.9791346760856746,0.9675895859574567,0.0013551589755354545,0.0019222886756836612
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,x,1,physical_k2,1.0016990387069835,1.0107173241460583,0.995859742877771,0.001395019171052742,0.0019788302356310047
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,y,1,physical_k,2.0150402593604615,1.8853101961826464,1.7055569094829715,0.0056227504550853385,0.011963780325184744
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,y,1,physical_k1,0.9816912078596707,0.9816388129391144,0.9654897702518113,0.002739302433341023,0.005828537620248812
