dimension,n,curved,field,order,method,max_scaled_error,max_absolute_error,max_nonzero_relative_error
2.0,2.0,1.0,quintic,10.0,recursive,0.6786187947419495,5671353747.597025,0.6786187947419495
2.0,2.0,1.0,quintic,10.0,direct,1.688922726907013e-09,0.0016565322875976562,1.688922726907013e-09
2.0,2.0,1.0,quintic,10.0,fe_geometry,2.2681393436905804e-09,0.00250244140625,2.2681393436905804e-09
2.0,8.0,1.0,constant,1.0,recursive,9.772815502677013e-14,9.772815502677013e-14,nan
2.0,8.0,1.0,constant,1.0,direct,1.1859288512093544e-13,1.1859288512093544e-13,nan
2.0,8.0,1.0,constant,1.0,fe_geometry,1.1859288512093112e-13,1.1859288512093112e-13,nan
2.0,8.0,1.0,constant,2.0,recursive,1.0684022526287287e-11,1.0684022526287287e-11,nan
2.0,8.0,1.0,constant,2.0,direct,9.918037796340467e-12,9.918037796340467e-12,nan
2.0,8.0,1.0,constant,2.0,fe_geometry,9.918037796340107e-12,9.918037796340107e-12,nan
2.0,8.0,1.0,constant,3.0,recursive,7.227091090041185e-10,7.227091090041185e-10,nan
2.0,8.0,1.0,constant,3.0,direct,6.420575763538648e-10,6.420575763538648e-10,nan
2.0,8.0,1.0,constant,3.0,fe_geometry,6.420575763537979e-10,6.420575763537979e-10,nan
2.0,8.0,1.0,constant,4.0,recursive,4.721723783699931e-08,4.721723783699931e-08,nan
2.0,8.0,1.0,constant,4.0,direct,2.2083897769332313e-08,2.2083897769332313e-08,nan
2.0,8.0,1.0,constant,4.0,fe_geometry,2.2083897769325878e-08,2.2083897769325878e-08,nan
2.0,8.0,1.0,constant,5.0,recursive,3.001484385524343e-06,3.001484385524343e-06,nan
2.0,8.0,1.0,constant,5.0,direct,1.4278993804624624e-06,1.4278993804624624e-06,nan
2.0,8.0,1.0,constant,5.0,fe_geometry,1.427899380462275e-06,1.427899380462275e-06,nan
2.0,8.0,1.0,constant,6.0,recursive,0.0001993730189142124,0.0001993730189142124,nan
2.0,8.0,1.0,constant,6.0,direct,5.237469657142497e-05,5.237469657142497e-05,nan
2.0,8.0,1.0,constant,6.0,fe_geometry,5.23746965714062e-05,5.23746965714062e-05,nan
2.0,8.0,1.0,constant,7.0,recursive,0.012246539981845932,0.012246539981845932,nan
2.0,8.0,1.0,constant,7.0,direct,0.0012427803269796278,0.0012427803269796278,nan
2.0,8.0,1.0,constant,7.0,fe_geometry,0.001242780326978906,0.001242780326978906,nan
2.0,8.0,1.0,constant,8.0,recursive,0.46454954507349927,0.46454954507349927,nan
2.0,8.0,1.0,constant,8.0,direct,0.05708322965338265,0.05708322965338265,nan
2.0,8.0,1.0,constant,8.0,fe_geometry,0.05708322965331218,0.05708322965331218,nan
2.0,8.0,1.0,constant,9.0,recursive,15.79008596430904,15.79008596430904,nan
2.0,8.0,1.0,constant,9.0,direct,1.2580430732369636,1.2580430732369636,nan
2.0,8.0,1.0,constant,9.0,fe_geometry,1.2580430732330177,1.2580430732330177,nan
2.0,8.0,1.0,constant,10.0,recursive,302.3946081655344,302.3946081655344,nan
2.0,8.0,1.0,constant,10.0,direct,32.915430700350434,32.915430700350434,nan
2.0,8.0,1.0,constant,10.0,fe_geometry,32.91543070033583,32.91543070033583,nan
2.0,8.0,1.0,quintic,1.0,recursive,4.3934079367591305e-08,4.3934079367591305e-08,1.0944981175785897e-06
2.0,8.0,1.0,quintic,1.0,direct,4.517219931443606e-15,4.517219931443606e-15,1.1253425092368273e-13
