dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,1,0,4,direct,-7.1841399170807569e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,1,0,4,fe_geometry,-7.1841399170806173e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,2,0,4,recursive,6.0457043621244586e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,2,0,4,direct,1.5220094828691803e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,2,0,4,fe_geometry,1.5220094828693218e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,3,0,4,recursive,4.3432341277111109e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,3,0,4,direct,-4.8422781268527605e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,3,0,4,fe_geometry,-4.8422781268527392e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,4,0,4,recursive,-9.3771938390363137e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,4,0,4,direct,-9.9827909537998484e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
