dimension,n,curved,field,method,order,max_absolute_error,max_scaled_error,max_element_scaled_error,discrete_relative_l2
2,8,0,quintic,reused,9,0.10021198000988062,0.10021198000988062,7.466374338409351e-10,nan
2,8,0,quintic,reused_centered,9,0.02570692342091771,0.02570692342091771,1.915315048464962e-10,nan
2,8,0,quintic,recursive,10,66.75272675116976,66.75272675116976,6.216832134050295e-08,nan
2,8,0,quintic,direct,10,4.396853828430176,4.396853828430176,4.094889227701515e-09,nan
2,8,0,quintic,fe_geometry,10,4.2980280100518025,4.2980280100518025,4.0028505120908864e-09,nan
2,8,0,quintic,reused,10,3.864147976909183,3.864147976909183,3.598768242550253e-09,nan
2,8,0,quintic,reused_centered,10,0.4502861846415532,0.4502861846415532,4.1936168879415205e-10,nan
2,32,0,constant,recursive,1,5.818464924315001e-13,5.818464924315001e-13,1.818270288848438e-14,nan
2,32,0,constant,direct,1,6.73607587486913e-13,6.73607587486913e-13,2.105023710896603e-14,nan
2,32,0,constant,fe_geometry,1,6.736075874868351e-13,6.736075874868351e-13,2.1050237108963597e-14,nan
2,32,0,constant,reused,1,3.0533975954582224e-14,3.0533975954582224e-14,9.541867485806945e-16,nan
2,32,0,constant,reused_centered,1,1.6138670262492648e-13,1.6138670262492648e-13,5.0433344570289525e-15,nan
2,32,0,constant,recursive,2,3.0770878879004415e-10,3.0770878879004415e-10,3.004968640527775e-13,nan
2,32,0,constant,direct,2,2.5846247808658513e-10,2.5846247808658513e-10,2.524047637564308e-13,nan
2,32,0,constant,fe_geometry,2,2.584624780865547e-10,2.584624780865547e-10,2.5240476375640106e-13,nan
2,32,0,constant,reused,2,2.8927137284918745e-11,2.8927137284918745e-11,2.8249157504803462e-14,nan
2,32,0,constant,reused_centered,2,6.700628860717983e-11,6.700628860717983e-11,6.543582871794905e-14,nan
2,32,0,constant,recursive,3,8.996760018662402e-08,8.996760018662402e-08,2.7455932674140632e-12,nan
2,32,0,constant,direct,3,9.605658124201e-08,9.605658124201e-08,2.93141422247345e-12,nan
2,32,0,constant,fe_geometry,3,9.605658124197544e-08,9.605658124197544e-08,2.931414222472395e-12,nan
2,32,0,constant,reused,3,1.329521075709946e-08,1.329521075709946e-08,4.057376329681232e-13,nan
2,32,0,constant,reused_centered,3,1.4650738318264513e-08,1.4650738318264513e-08,4.471050512165684e-13,nan
2,32,0,constant,recursive,4,1.886978094348891e-05,1.886978094348891e-05,1.799562544201747e-11,nan
2,32,0,constant,direct,4,1.969148777425289e-05,1.969148777425289e-05,1.8779266142132653e-11,nan
2,32,0,constant,fe_geometry,4,1.9691487774233227e-05,1.9691487774233227e-05,1.8779266142113902e-11,nan
2,32,0,constant,reused,4,3.2951133430391797e-06,3.2951133430391797e-06,3.142464964904003e-12,nan
2,32,0,constant,reused_centered,4,1.8586662527852585e-06,1.8586662527852585e-06,1.7725622680523476e-12,nan
2,32,0,constant,recursive,5,0.0037541072680107933,0.0037541072680107933,1.1188111507924775e-10,nan
2,32,0,constant,direct,5,0.004482078552246093,0.004482078552246093,1.3357634998101273e-10,nan
2,32,0,constant,fe_geometry,5,0.0044820785522434676,0.0044820785522434676,1.335763499809345e-10,nan
2,32,0,constant,reused,5,0.0004625719149094532,0.0004625719149094532,1.3785717335625089e-11,nan
2,32,0,constant,reused_centered,5,0.00040639219775603615,0.00040639219775603615,1.2111431293369417e-11,nan
2,32,0,constant,recursive,6,0.6063796482714456,0.6063796482714456,5.64735055222591e-10,nan
2,32,0,constant,direct,6,0.9781677246093751,0.9781677246093751,9.109896836889676e-10,nan
2,32,0,constant,fe_geometry,6,0.9781677246078335,0.9781677246078335,9.109896836875319e-10,nan
2,32,0,constant,reused,6,0.05342364567875749,0.05342364567875749,4.975464723888551e-11,nan
2,32,0,constant,reused_centered,6,0.13299018348416156,0.13299018348416156,1.2385676008105423e-10,nan
