family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,yy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,xxx,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,xxy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,xyy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,yyy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,x,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,y,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xx,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,yy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xxx,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xxy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xyy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,yyy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,x,0.9999999999908211,0.9999999999946318,1.0000000000066442
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,y,1.0000000000042941,1.0000000000059976,1.0000000000506035
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,xx,0.9999999999591135,0.999999999957653,0.9999999999278257
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,xy,1.000000000007555,1.0000000000092744,1.0000000000330858
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,yy,0.9999999999927802,0.9999999999923458,0.9999999999755528
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,xxx,1.0000000000406173,1.000000000030704,1.0000000001356886
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,xxy,0.9999999999418988,0.9999999999534017,0.9999999999331903
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,xyy,1.0000000000029625,0.9999999999948199,0.999999999903357
tri,4.0,4.0,0.0,gll,coupled,0.0,sine,yyy,0.999999999989305,0.9999999999852426,1.000000000068274
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,x,1.0000000000000246,1.0000000000000553,1.000000000000075
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,y,0.9999999999999274,0.9999999999999702,1.0000000000001
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xx,0.9999999999999518,0.9999999999999137,0.9999999999997329
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xy,1.0000000000000486,1.0000000000000946,0.9999999999999049
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,yy,0.9999999999996615,0.999999999999665,0.9999999999995562
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xxx,1.000000000000444,1.0000000000003797,1.0000000000005997
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xxy,0.9999999999997424,0.9999999999998297,0.999999999999451
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xyy,0.9999999999997387,0.9999999999995465,0.9999999999984407
tri,4.0,4.0,0.0,gll,coupled,0.0,shortwave,yyy,0.9999999999994601,0.9999999999992428,1.0000000000000027
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,x,1.000000004550408,1.0000000041545862,1.0000000008347314
